ecchi,shounen,shoujo,yuri,year,hentai,yaoi
2,15,4,0,1981,0,0
0,14,5,0,1982,0,0
0,17,4,0,1983,0,0
0,10,6,1,1984,7,0
2,21,8,1,1985,15,0
3,27,14,0,1986,1,0
7,23,6,1,1987,5,0
4,25,9,0,1988,4,0
7,31,9,0,1989,6,0
5,24,15,0,1990,12,0
9,29,13,1,1991,8,0
10,30,14,0,1992,6,2
2,35,14,0,1993,2,0
10,41,9,2,1994,19,3
9,32,15,2,1995,16,1
12,46,9,2,1996,28,3
11,41,7,0,1997,23,1
8,39,11,0,1998,23,0
13,41,8,2,1999,28,0
8,37,9,1,2000,42,0
11,50,14,2,2001,80,1
15,60,10,1,2002,67,0
18,58,9,2,2003,73,0
27,64,18,2,2004,56,2
25,64,18,1,2005,43,2
23,52,26,1,2006,40,1
24,39,13,0,2007,46,7
33,48,22,2,2008,39,3
40,41,16,3,2009,42,3
46,69,23,3,2010,57,5
47,71,30,4,2011,63,0
43,76,28,1,2012,46,2
33,69,31,0,2013,58,1
41,85,41,1,2014,63,0
46,80,31,2,2015,55,0
24,71,32,0,2016,37,1
